<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni_min data from 20110319 to 20110321</B><hr><pre>Selected parameters:
 1 BX, nT (GSE, GSM)
 2 BY, nT (GSM)
 3 BZ, nT (GSM)
 4 Vx Velocity,km/s
 5 Vy Velocity, km/s
 6 Vz Velocity, km/s
 7 Proton Density, n/cc
 8 Temperature, K
 9 AE-index, nT
10 AL-index, nT
11 AU-index, nT

YYYY DOY HR MN      1       2       3       4       5       6      7        8     9    10    11 
2011  78  2 32   -3.18   -0.41    1.55  -340.5     5.8   -25.6   3.68   33105.    21   -14     7
2011  78  2 33   -3.44    0.78    1.01  -343.2    12.0   -34.1   3.84   35197.    21   -13     8
2011  78  2 34   -3.50    0.93    1.12  -333.2   -10.6   -15.1   3.24   27012.    23   -14     9
2011  78  2 35   -3.51    1.27    0.93  -333.3   -10.9   -14.8   3.24   27055.    22   -14     8
2011  78  2 36   -3.30    0.51    1.24  -334.0   -12.0   -13.8   3.26   27234.    24   -16     8
2011  78  2 37   -3.41    0.80    1.40  -336.8   -10.1   -31.0   4.07   29052.    23   -15     8
2011  78  2 38   -3.11   -1.11    1.38  -337.1    -0.0   -32.6   4.14   32480.    23   -14     9
2011  78  2 39   -3.37    0.10    0.99  -334.7    -7.7   -15.6   3.41   29113.    24   -15     9
2011  78  2 40   -3.34   -0.97    1.22  -334.2   -11.6   -11.6   3.25   27629.    24   -14    10
2011  78  2 41   -3.20   -0.79    1.12 99999.9 99999.9 99999.9 999.99 9999999.    24   -14    10
2011  78  2 42   -2.69   -1.42    1.42  -347.9    13.9   -37.8   3.69   35260.    24   -13    11
2011  78  2 43   -3.23   -0.91    1.50  -343.3    10.3   -38.6   3.65   36484.    23   -13    10
2011  78  2 44   -2.75   -0.56    1.36  -335.8    -4.6   -17.1   3.31   30921.    24   -14    10
2011  78  2 45   -3.02   -0.19    1.21  -337.0    -1.6   -21.6   3.20   27378.    27   -15    12
2011  78  2 46   -3.22   -0.05    1.53  -340.5     7.7   -40.0   3.25   27964.    27   -15    12
2011  78  2 47   -3.48   -0.11    1.48  -339.2     6.9   -41.6   3.73   36821.    26   -15    11
2011  78  2 48   -3.16   -0.53    1.93  -335.9     4.6   -35.6   3.57   34151.    27   -16    11
2011  78  2 49   -2.40   -2.06    1.60  -337.2     4.9   -30.9   3.57   34879.    27   -16    11
2011  78  2 50   -3.21   -0.95    1.28  -348.2    12.8   -32.6   3.72   36045.    27   -16    11
2011  78  2 51   -3.52   -0.26    1.33  -331.8     0.3   -24.9   3.35   32146.    25   -14    11
2011  78  2 52   -3.37   -0.87    1.50  -330.9    -2.7   -22.8   3.20   28212.    24   -13    11
2011  78  2 53   -3.81   -0.10    0.81  -330.9    -2.7   -22.8   3.20   28096.    24   -12    12
2011  78  2 54   -3.54   -0.12    1.42 99999.9 99999.9 99999.9 999.99 9999999.    24   -12    12
2011  78  2 55   -3.03   -1.54    1.41  -353.0    20.2   -38.2   3.60   28647.    23   -11    12
2011  78  2 56   -2.93   -1.55    1.49  -348.5    17.5   -38.5   3.64   30927.    23   -11    12
2011  78  2 57   -3.52    0.07    1.28  -340.7    11.8   -37.3   3.79   34279.    23   -11    12
2011  78  2 58   -3.20   -0.38    1.28  -333.3     3.0   -24.9   3.98   31954.    24   -11    13
2011  78  2 59   -3.52   -0.19    1.11  -332.3     3.9   -28.3   3.74   37519.    24   -11    13
2011  78  3  0   -3.46   -0.05    1.14  -333.1     3.4   -30.4   3.84   40867.    23   -10    13
2011  78  3  1   -2.75   -1.24    1.04  -330.2     8.2   -28.0   3.43   30956.    23   -10    13
2011  78  3  2   -1.53   -2.65    1.33  -330.2     8.2   -28.0   3.43   30956.    23   -10    13
2011  78  3  3   -1.72   -2.51    1.34  -361.3    25.6   -35.8   3.68   27603.    24   -11    13
2011  78  3  4   -2.53   -1.68    1.38  -361.3    25.6   -35.8   3.68   27603.    24   -11    13
2011  78  3  5   -2.98   -0.79    1.40  -345.0    16.2   -29.8   3.49   28302.    23   -11    12
2011  78  3  6   -1.91   -2.80    1.66  -343.1    14.8   -29.1   3.48   28506.    23   -11    12
2011  78  3  7   -1.81   -3.10    1.60  -344.0    15.1   -29.5   3.49   28547.    22   -10    12
2011  78  3  8 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    23   -10    13
2011  78  3  9 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    23   -10    13
2011  78  3 10 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    23   -10    13
2011  78  3 11   -3.35    1.04    2.20 99999.9 99999.9 99999.9 999.99 9999999.    23   -11    12
2011  78  3 12 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    23   -11    12
2011  78  3 13 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    22   -11    11
2011  78  3 14 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    23   -11    12
2011  78  3 15 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    23   -11    12
2011  78  3 16   -3.41    1.01    2.14  -336.2   -13.2   -26.1   4.23   29844.    23   -11    12
2011  78  3 17 9999.99 9999.99 9999.99  -336.2   -13.2   -26.1   4.23   29844.    23   -11    12
2011  78  3 18 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    22   -11    11
2011  78  3 19 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    21   -11    10
2011  78  3 20 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    21   -11    10
2011  78  3 21   -3.36    1.10    2.15 99999.9 99999.9 99999.9 999.99 9999999.    21   -11    10
2011  78  3 22 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    21   -11    10
2011  78  3 23 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    22   -11    11
2011  78  3 24   -3.30    1.63   -1.58 99999.9 99999.9 99999.9 999.99 9999999.    23   -12    11
2011  78  3 25 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    22   -12    10
2011  78  3 26 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    22   -13     9
2011  78  3 27   -3.35    1.34    0.70 99999.9 99999.9 99999.9 999.99 9999999.    21   -13     8
2011  78  3 28   -3.27    1.73   -1.54 99999.9 99999.9 99999.9 999.99 9999999.    22   -14     8
2011  78  3 29 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    22   -13     9
2011  78  3 30   -3.31    1.39   -1.73 99999.9 99999.9 99999.9 999.99 9999999.    22   -14     8
2011  78  3 31   -3.45    1.59   -1.35 99999.9 99999.9 99999.9 999.99 9999999.    22   -14     8
2011  78  3 32   -3.59    0.63    2.00 99999.9 99999.9 99999.9 999.99 9999999.    23   -14     9
2011  78  3 33 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    23   -14     9
2011  78  3 34   -3.50    1.52   -1.28 99999.9 99999.9 99999.9 999.99 9999999.    22   -13     9
2011  78  3 35 9999.99 9999.99 9999.99  -333.8     2.9     6.0   3.82   26200.    21   -12     9
2011  78  3 36   -3.29    1.54   -1.66  -333.8     2.9     6.0   3.82   26200.    21   -11    10
2011  78  3 37   -3.48    1.37   -1.33  -333.8     2.9     6.0   3.82   26200.    20   -11     9
2011  78  3 38   -3.60    0.86    0.42 99999.9 99999.9 99999.9 999.99 9999999.    18   -10     8
2011  78  3 39 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    17   -10     7
2011  78  3 40   -3.25    1.43   -1.81 99999.9 99999.9 99999.9 999.99 9999999.    17   -10     7
2011  78  3 41   -3.53    1.20   -1.37  -333.2    -3.3     6.2   4.17   31478.    16    -9     7
2011  78  3 42 9999.99 9999.99 9999.99  -333.2    -3.3     6.2   4.17   31478.    16    -9     7
2011  78  3 43   -3.68    0.58    1.89 99999.9 99999.9 99999.9 999.99 9999999.    17   -10     7
2011  78  3 44   -3.49    1.29   -0.92 99999.9 99999.9 99999.9 999.99 9999999.    18   -11     7
2011  78  3 45   -3.11    1.46   -2.05 99999.9 99999.9 99999.9 999.99 9999999.    18   -12     6
2011  78  3 46 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    19   -13     6
2011  78  3 47   -3.46    1.36   -1.41 99999.9 99999.9 99999.9 999.99 9999999.    21   -13     8
2011  78  3 48 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    23   -14     9
2011  78  3 49   -3.40    0.91   -0.05  -334.0    -3.7   -28.9   3.92   28201.    25   -14    11
2011  78  3 50   -3.42    1.48   -1.30  -334.0    -3.7   -28.9   3.92   28201.    26   -15    11
2011  78  3 51   -2.58    3.01   -0.66  -334.0    -3.7   -28.9   3.92   28201.    25   -14    11
2011  78  3 52   -3.05    2.10   -0.95 99999.9 99999.9 99999.9 999.99 9999999.    23   -14     9
2011  78  3 53   -3.02    2.15   -1.02 99999.9 99999.9 99999.9 999.99 9999999.    20   -13     7
2011  78  3 54   -3.39    1.83   -1.06  -331.7    -0.6     1.1   3.57   27758.    19   -13     6
2011  78  3 55   -3.42    1.61   -0.90  -334.0    -2.5     2.6   3.67   27963.    19   -13     6
2011  78  3 56   -3.40    1.45   -1.43  -334.6    -2.4     3.0   3.71   28108.    18   -13     5
2011  78  3 57   -3.65    1.22   -1.14  -332.0     3.5     2.1   3.76   25450.    18   -12     6
2011  78  3 58 9999.99 9999.99 9999.99  -332.0     3.5     2.1   3.76   25450.    18   -12     6
2011  78  3 59   -3.27    2.11   -0.87  -332.0     3.5     2.1   3.76   25450.    17   -12     5
2011  78  4  0   -3.40    1.05   -0.79 99999.9 99999.9 99999.9 999.99 9999999.    17   -12     5
2011  78  4  1   -3.59    1.72   -0.89 99999.9 99999.9 99999.9 999.99 9999999.    17   -11     6
